prop_id,crop,class_code,suitability_group,suitability_score,street,suburb,state,postcode,full_address,latitude,longitude
2,Olives,136799,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Onions,309109,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Phalaris,7729,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Pinus.Radiata,9778,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Poppies,46518,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Potatoes,96610,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Pyrethrum,59031,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Raspberries,155235,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Red.Clover,12575,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Rye.Grass,11781,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Sparkling.Wine.Grapes,250,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Strawberries,121252,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Strawberry.Clover,11106,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
